dep;com;arrd;cant;admi;popu;ecarts_popu;surface;nom;xlamb2;ylamb2;xlambz;ylambz;xlamb93;ylamb93;longi_grd;lati_grd;longi_dms;lati_dms;zmin;zmax;wgs84
78;70;1;7;6;3;Entre 0 et 1000 habitants;493;BOINVILLE-EN-MANTOIS;5575;24371;5575;11369;6089;68708;-644;54367;14525;485550;56;145;48.93071779,1.75681654
78;76;1;8;6;3;Entre 0 et 1000 habitants;390;BOISSETS;5447;24295;5448;11293;5961;68633;-837;54291;13501;485141;105;151;48.8614414,1.58323209
78;335;1;10;5;162;Entre 10.000 et 25.000 habitants;1148;LIMAY;5560;24441;5561;11438;6075;68778;-667;54437;14409;485936;17;137;48.99352117,1.73562693
78;559;1;2;6;5;Entre 0 et 1000 habitants;439;SAINT-ILLIERS-LE-BOIS;5392;24403;5393;11401;5907;68741;-921;54398;13026;485729;129;166;48.95799828,1.50676434
78;672;3;16;6;51;Entre 10.000 et 25.000 habitants;508;VILLENNES-SUR-SEINE;5752;24379;5752;11377;6266;68715;-376;54377;15952;485621;19;132;48.9388376,1.99818839
91;243;3;13;6;18;Entre 10.000 et 25.000 habitants;972;FONTENAY-LES-BRIIS;5867;24024;5867;11021;6378;68358;-201;54022;20920;483711;59;170;48.62010808,2.15618364
91;579;3;4;6;28;Entre 10.000 et 25.000 habitants;1157;SAINT-VRAIN;5999;23936;5999;1934;6509;68270;-2;53935;22005;483229;51;83;48.54114017,2.3351563
92;48;3;96;5;447;Entre 25.000 et 50.000 habitants;990;MEUDON;5929;24232;5929;11230;6442;68566;-107;54231;21425;484827;28;179;48.80716612,2.23989563
77;118;5;6;5;111;Entre 10.000 et 25.000 habitants;1507;CLAYE-SOUILLY;6257;24386;6256;11384;6771;68717;389;54383;24112;485642;42;124;48.94509718,2.68714036
77;291;1;9;6;9;Entre 0 et 1000 habitants;984;LE MESNIL-AMELOT;6187;24468;6187;11465;6702;68799;284;54465;23531;490107;87;121;49.01902786,2.59199976
77;326;2;34;6;58;Entre 10.000 et 25.000 habitants;856;NANDY;6170;23984;6169;1982;6680;68316;255;53982;23358;483503;37;87;48.58406709,2.56684131
77;404;3;25;6;18;Entre 10.000 et 25.000 habitants;816;SAINTE-COLOMBE;6684;23934;6684;1932;7194;68262;1029;53929;31546;483208;71;153;48.53572622,3.26241888
