Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0922764E;Ecole secondaire privée de l'Institut d'enseignement IBN Badis;ECOLE SECONDAIRE PRIVEE;INSTITUT D'ENSEIGNEMENT IBN BADIS;Privé;227  AVENUE GEORGES CLEMENCEAU;;;92000;NANTERRE;Nanterre;642566.5;6865409.4;EPSG:2154;48.88613581264141;2.2167904263735423;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;92;11;25;92050;Hauts-de-Seine;Ile-de-France;Versailles;48.8861358126,2.21679042637;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2015-09-01
0930131M;Section d'enseignement professionnel du Lycée Eugénie Cotton;SECTION ENSEIGNT PROFESSIONNEL;LYCEE EUGENIE COTTON;Public;58  AVENUE FAIDHERBE;;;93100;MONTREUIL;Montreuil;658718.3;6863152.5;EPSG:2154;48.86707806782771;2.4372598242557943;Parfaite;Numéro de rue;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;1;OUVERT;93;11;24;93048;Seine-Saint-Denis;Ile-de-France;Créteil;48.8670780678,2.43725982426;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0930141Y;Section d'enseignement professionnel du Lycée Auguste Blanqui;SECTION ENSEIGNT PROFESSIONNEL;LYCEE AUGUSTE BLANQUI;Public;54  RUE CHARLES SCHMIDT;;196;93404;ST OUEN CEDEX;Saint-Ouen-sur-Seine;651124.0;6867243.4;EPSG:2154;48.90333464187476;2.333270205609169;Parfaite;Numéro de rue;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;1;OUVERT;93;11;24;93070;Seine-Saint-Denis;Ile-de-France;Créteil;48.9033346419,2.33327020561;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0930921W;Collège privé Fénelon;COLLEGE PRIVE;FENELON;Privé;1 RUE DE MONTAUBAN;;;93410;VAUJOURS;Vaujours;668417.6;6870197.1;EPSG:2154;48.930976836060786;2.5689506317080113;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;93;11;24;93074;Seine-Saint-Denis;Ile-de-France;Créteil;48.9309768361,2.56895063171;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-04-03
0930933J;Lycée polyvalent privé Assomption;LYCEE POLYVALENT PRIVE;ASSOMPTION;Privé;12 avenue de Verdun;;;93140;BONDY;Bondy;662627.4;6867193.5;EPSG:2154;48.90365659264197;2.490190337737663;Parfaite;Numéro de rue;306;LYCEE POLYVALENT;1;OUVERT;93;11;24;93010;Seine-Saint-Denis;Ile-de-France;Créteil;48.9036565926,2.49019033774;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-29
0930961P;Lycée général privé Espérance;LYCEE GENERAL PRIVE;ESPERANCE;Privé;35 rue Anatole France;;;93600;AULNAY SOUS BOIS;Aulnay-sous-Bois;662889.5;6870678.9;EPSG:2154;48.9350142520364;2.493460619927481;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;93;11;24;93005;Seine-Saint-Denis;Ile-de-France;Créteil;48.935014252,2.49346061993;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-29
0930969Y;Collège privé Saint Louis Sainte Clotilde;COLLEGE PRIVE;SAINT LOUIS-SAINTE CLOTILDE;Privé;37 allée de la Fontaine;;;93340;LE RAINCY;Le Raincy;664658.0;6865991.1;EPSG:2154;48.89295846410911;2.5179897120653925;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;93;11;24;93062;Seine-Saint-Denis;Ile-de-France;Créteil;48.8929584641,2.51798971207;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-29
0930974D;Lycée général privé Blanche de Castille;LYCEE GENERAL PRIVE;BLANCHE DE CASTILLE;Privé;1 place Charles de Gaulle;;;93250;VILLEMOMBLE;Villemomble;664274.2;6865223.7;EPSG:2154;48.88603622933875;2.512819977943328;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;93;11;24;93077;Seine-Saint-Denis;Ile-de-France;Créteil;48.8860362293,2.51281997794;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-29
0931020D;Section d'enseignement général et professionnel adapté Victor Hugo;SEGPA;CLG VICTOR HUGO;Public;55 rue Auguste Renoir;;;93600;AULNAY SOUS BOIS;Aulnay-sous-Bois;662992.1;6873318.6;EPSG:2154;48.95875708925834;2.494630422386324;Parfaite;Numéro de rue;390;SECTION ENSEIGNT GEN. ET PROF. ADAPTE;1;OUVERT;93;11;24;93005;Seine-Saint-Denis;Ile-de-France;Créteil;48.9587570893,2.49463042239;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1968-11-20
0931091F;Ecole primaire privée Sainte Agnes;ECOLE ELEMENTAIRE PRIVEE;STE AGNES;Privé;25 avenue du Général Leclerc;;;93270;SEVRAN;Sevran;665384.0;6871032.6;EPSG:2154;48.93833392279678;2.527479539498475;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;93;11;24;93071;Seine-Saint-Denis;Ile-de-France;Créteil;48.9383339228,2.5274795395;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-12-18
0931094J;Ecole primaire privée Saint Vincent de Paul;ECOLE ELEMENTAIRE PRIVEE;ST VINCENT DE PAUL;Privé;18 boulevard Félix Faure;;;93200;ST DENIS;Saint-Denis;653002.4;6871148.0;EPSG:2154;48.93858619511077;2.3584600453699647;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;93;11;24;93066;Seine-Saint-Denis;Ile-de-France;Créteil;48.9385861951,2.35846004537;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-12-18
0931101S;Ecole primaire privée Saint Louis- Sainte Clotilde;ECOLE ELEMENTAIRE PRIVEE;ST LOUIS STE CLOTILDE;Privé;16 allée des Hêtres;;;93340;LE RAINCY;Le Raincy;664702.7;6866231.8;EPSG:2154;48.89512546807527;2.518579321624156;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;93;11;24;93062;Seine-Saint-Denis;Ile-de-France;Créteil;48.8951254681,2.51857932162;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-12-18
0931103U;Ecole primaire privée Saint Joseph La Salle;ECOLE ELEMENTAIRE PRIVEE;ST JOSEPH LA SALLE;Privé;12 rue du 8 Mai 1945;;;93500;PANTIN;Pantin;657013.8;6865877.0;EPSG:2154;48.89146739206011;2.4137496757478134;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;93;11;24;93055;Seine-Saint-Denis;Ile-de-France;Créteil;48.8914673921,2.41374967575;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-12-18
0931112D;Ecole primaire privée Fidélis;ECOLE ELEMENTAIRE PRIVEE;FIDELIS;Privé;19 rue Saint Denis;;;93100;MONTREUIL;Montreuil;660310.8;6863453.9;EPSG:2154;48.86988862389161;2.458939477671938;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;93;11;24;93048;Seine-Saint-Denis;Ile-de-France;Créteil;48.8698886239,2.45893947767;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-12-18
0931123R;Ecole primaire privée Saint Germain;ECOLE ELEMENTAIRE PRIVEE;SAINT GERMAIN;Privé;103 RUE SADI CARNOT;;;93700;DRANCY;Drancy;658987.4;6869646.3;EPSG:2154;48.92549178891547;2.4403005486475173;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;93;11;24;93029;Seine-Saint-Denis;Ile-de-France;Créteil;48.9254917889,2.44030054865;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-12-18
